TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805941060756,3.6,2.2,0.0,0.0,1.5,--
63805941061760,3.5,2.0,0.0,0.0,1.5,--
63805941062780,3.6,2.1,0.0,0.0,1.5,--
63805941063780,3.5,2.0,0.0,0.0,1.5,--
63805941064770,3.4,1.9,0.0,0.0,1.5,--
63805941065767,3.8,2.3,0.0,0.0,1.5,--
63805941066778,3.5,2.0,0.0,0.0,1.5,--
63805941067771,3.4,1.9,0.0,0.0,1.5,--
63805941068767,3.2,1.7,0.0,0.0,1.5,--
63805941069778,3.5,2.0,0.0,0.0,1.5,--
63805941070789,3.4,1.9,0.0,0.0,1.5,--
63805941071789,3.4,1.9,0.0,0.0,1.5,--
63805941072799,3.4,1.9,0.0,0.0,1.5,--
63805941073813,3.4,1.9,0.0,0.0,1.5,--
63805941074803,3.2,1.7,0.0,0.0,1.5,--
63805941075817,3.5,2.0,0.0,0.0,1.5,--
63805941076828,3.3,1.8,0.0,0.0,1.5,--
63805941077856,3.3,1.8,0.0,0.0,1.5,--
63805941078866,3.1,1.6,0.0,0.0,1.5,--
63805941079862,3.3,1.8,0.0,0.0,1.5,--
63805941080875,3.3,1.8,0.0,0.0,1.5,--
63805941081887,3.3,1.8,0.0,0.0,1.5,--
63805941082899,3.8,2.3,0.0,0.0,1.5,--
63805941083896,3.4,1.9,0.0,0.0,1.5,--
63805941084901,3.5,2.1,0.0,0.0,1.5,--
63805941085913,3.5,2.0,0.0,0.0,1.5,--
63805941086914,3.5,2.0,0.0,0.0,1.5,--
63805941087912,3.4,1.9,0.0,0.0,1.5,--
63805941088925,3.1,1.6,0.0,0.0,1.5,--
63805941089954,3.4,1.9,0.0,0.0,1.5,--
63805941090961,3.2,1.7,0.0,0.0,1.5,--
63805941091959,3.3,1.8,0.0,0.0,1.5,--
63805941092958,3.2,1.7,0.0,0.0,1.5,--
63805941093977,3.3,1.8,0.0,0.0,1.5,--
63805941094983,3.2,1.7,0.0,0.0,1.5,--
63805941095974,3.4,1.9,0.0,0.0,1.5,--
63805941096985,3.1,1.7,0.0,0.0,1.5,--
63805941097995,3.4,1.9,0.0,0.0,1.5,--
63805941098991,3.2,1.7,0.0,0.0,1.5,--
63805941099988,3.6,2.1,0.0,0.0,1.5,--
63805941100993,3.6,2.1,0.0,0.0,1.5,--
63805941101999,3.7,2.2,0.0,0.0,1.5,--
63805941102993,3.6,2.1,0.0,0.0,1.5,--
63805941103991,3.3,1.9,0.0,0.0,1.5,--
63805941104996,3.8,2.3,0.0,0.0,1.5,--
63805941105996,3.6,2.1,0.0,0.0,1.5,--
