TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051519109.00,3.4,1.9,0,0,1.5,--
63801051520114.00,3.9,2.5,0,0,1.5,--
63801051521120.00,3.5,2,0,0,1.5,--
63801051522113.00,3.4,1.9,0,0,1.5,--
63801051523124.00,3.5,2,0,0,1.5,--
63801051524152.00,3.6,2.2,0,0,1.5,--
63801051525163.00,4.9,3.4,0,0,1.5,--
63801051526165.00,3.5,2,0,0,1.5,--
63801051527164.00,3.5,2,0,0,1.5,--
63801051528173.00,4,2.5,0,0,1.5,--
63801051529187.00,3.3,1.8,0,0,1.5,--
63801051530198.00,4.5,3,0,0,1.5,--
63801051531202.00,4.3,2.8,0,0,1.5,--
63801051532223.00,3.7,2.3,0,0,1.5,--
63801051533220.00,3.6,2.1,0,0,1.5,--
63801051534218.00,3.8,2.3,0,0,1.5,--
63801051535236.00,4.3,2.9,0,0,1.5,--
63801051536246.00,4,2.5,0,0,1.5,--
63801051537245.00,3.7,2.2,0,0,1.5,--
63801051538248.00,3.3,1.8,0,0,1.5,--
63801051539265.00,3.3,1.9,0,0,1.5,--
63801051540265.00,3.6,2.1,0,0,1.5,--
63801051541265.00,4.4,3,0,0,1.5,--
63801051542271.00,3.3,1.8,0,0,1.5,--
63801051543264.00,3.4,1.9,0,0,1.5,--
63801051544279.00,3.1,1.7,0,0,1.5,--
63801051545292.00,3.5,2,0,0,1.5,--
63801051546304.00,4.1,2.6,0,0,1.5,--
63801051547310.00,3.5,2,0,0,1.5,--
63801051548320.00,3.2,1.7,0,0,1.5,--
63801051549313.00,3.7,2.2,0,0,1.5,--
63801051550334.00,3.2,1.7,0,0,1.5,--
63801051551342.00,4.4,3,0,0,1.5,--
63801051552343.00,3.2,1.8,0,0,1.5,--
63801051553364.00,3.4,1.9,0,0,1.5,--
63801051554368.00,3.2,1.7,0,0,1.5,--
63801051555367.00,3.4,1.9,0,0,1.5,--
63801051556383.00,4,2.5,0,0,1.5,--
63801051557395.00,3.8,2.3,0,0,1.5,--
63801051558400.00,3.3,1.9,0,0,1.5,--
63801051559411.00,3.2,1.7,0,0,1.5,--
63801051560421.00,3.1,1.7,0,0,1.5,--
63801051561441.00,3.8,2.3,0,0,1.5,--
63801051562443.00,4.9,3.4,0,0,1.5,--
63801051563447.00,3.6,2.1,0,0,1.5,--
63801051564469.00,3.4,2,0,0,1.5,--
63801051565476.00,3.5,2,0,0,1.5,--
63801051566493.00,3.2,1.7,0,0,1.5,--
63801051567491.00,4.3,2.8,0,0,1.5,--
63801051568502.00,3.1,1.6,0,0,1.5,--
63801051569512.00,3.3,1.9,0,0,1.5,--
63801051570521.00,3.1,1.6,0,0,1.5,--
63801051571524.00,3.2,1.8,0,0,1.5,--
63801051572518.00,4,2.5,0,0,1.5,--
63801051573527.00,3.5,2,0,0,1.5,--
63801051574525.00,3.2,1.7,0,0,1.5,--
63801051575522.00,3.2,1.7,0,0,1.5,--
63801051576527.00,3.1,1.6,0,0,1.5,--
63801051577520.00,3.4,1.9,0,0,1.5,--
63801051578516.00,3.8,2.3,0,0,1.5,--
63801051579529.00,3.7,2.2,0,0,1.5,--
63801051580546.00,3.7,2.3,0,0,1.5,--
63801051581573.00,4.1,2.6,0,0,1.5,--
63801051582591.00,4.4,2.9,0,0,1.5,--
63801051583601.00,4.6,3.1,0,0,1.5,--
63801051584603.00,3.5,2,0,0,1.5,--
